IDIOM,meaning,uses
anything but,"by no means
it's not the case at all
certainly not
the opposite of what you imagined
didn't turn out as planned
nothing like it should have been","We went to see that new action film on Thursday night and it was anything but good, in fact, I fell asleep.
My daughter was anything but a sound sleeper, she kept me awake all night most of the first year.
He has no idea about money. He said it would be a cheap holiday; it turned out to be anything but.
The new boss is anything but charming when I met him.
Our meeting schedule is anything but definite."
square peg in a round hole,"a person who doesn't fit into societies norm
finding yourself in a situation that doesn't suit you
trying to do something that you don't know how to do
someone not capable of the job or task they are doing
being out of your depth or comfort zone in a situation","How he got the job I will never know. He's like a square peg in a round hole.
You are trying to get a square peg into a round hole, let me do it instead.
That lifestyle really doesn't suit Sally at all; she's like a square peg in a round hole.
I went to the party for a little while, but I felt like a round peg in a square hole. There was nobody I knew there."
hit or miss,"something is arranged in a haphazard fashion
it hasn't been planned or organised very well
might be good or bad at different times
something with a random or unpredictable outcome","""Have you tried the new bar on the corner? We've been three times and it's a bit hit and miss.""
The décor was really hit or miss in the big, old building.
We've decided on a date for the picnic, but the weather will be hit or miss.
It depends what mood the chef is in, because the food can be really hit or miss in that café."
silver lining,"sadness or unpleasant things can have a positive side effect
each negative situation can be positive eventually
there may be an advantage to a hopeless event
your good fortune might not be apparent at the moment
the situation may seem bad now but can turn for the better","If it's the tough time in your life, it comes with many silver linings.
Always be optimistic and look for the silver-lining.
He had to have major surgery last year, but he met the love of his life while he was in hospital. She's a nurse. Every cloud has a silver lining.
I thought I had no money for lunch, but then I found £5.00 in the bottom of my bag. Every cloud has a silver lining.
They say every cloud has a silver lining. If I'd caught the first train, I would have been held up for 3 hours. Thank goodness I waited for the second one."
in the air,"something like a mood that everybody can feel
you can sense/feel/smell/taste it but not see it
it might be a change in the atmosphere or temperature
an anticipation that something is happening or going to happen","You could feel the tension in the air as everyone waited to hear the announcement.
There was great excitement in the air at the clock struck midnight.
I felt the chill in the air as autumn approaches.
The smell of spices in the air was making me hungry.
He could taste the salt in the air as he got nearer to the coast."
make light of,"to treat something as if it isn't important
to make a joke of something that should be treated seriously
to downplay something
to ignore or neglect
pay no attention to","You need to stop making light of this situation. You could be in serious trouble.
I wish you would stop trying to make light of your injury. The doctor says that you will need surgery.
Stop trying to make light of the future. Our company is in real trouble and we will need to make some serious changes going forward.
Even though they are in serious financial difficulty he will still try to make light of everything.
The president tried to make light of the allegations but the reporters weren't letting him off the hook."
through thick and thin,"under all conditions, no matter how challenging or difficult
to support someone through good and bad times
to do something even though the circumstances are not ideal
to stay by someone's side over a long period of time, even when times are tough","My best friend has supported me through thick and thin.
Even though there are rumours that the company is in trouble we plan to stick it out through thick and thin.
If you really loved him you would have stuck by him through thick and thin. Instead, you left when things got hard.
My husband has supported Liverpool through thick and thin. He is a true fan."
in no time,"a very short period of time
very quickly
almost instantly
what feels like a very short period of time, even though it isn't really
immediately
very soon
quickly / rapidly","I completed the project in no time at all.
If we all work together on the essay, we will be able to complete it in no time.
Now that they have built the high speed rail network we can get to Shanghai in no time.
We will be out of here in no time. I just have to reset the router.
You can easily bake a cake from scratch. It will be done in no time.
I can't believe how quickly our children have grown up. In no time they will be off to college.
It feels like we have just arrived on the island, I can't believe that our holiday is almost over. In no time we will be back at work."
throw down the gauntlet,"to accept a challenge
to issue a challenge","When it comes to the rights of animals, we are always willing to throw down the gauntlet.
He has never worked in the HR department before but when the department head left unexpectedly, he took up the gauntlet.
I don't know why you are so upset, you are the one who threw down the gauntlet."
way forward,"the only way to succeed
something that would be a positive influence on your life
an action plan that is devised to lead to a successful outcome","I believe that digital learning is the way forward.
This new computer program is the way forward if we want to save our company.
An exercise plan would be the best way forward for our family if we want to lose weight.
I truly believe that a new job is the way forward for me.
My boss has called a meeting so that we can decide what the best way forward would be."
on edge,"to feel tense or unable to relax
to be irritable
when someone is nervous
to be at the end of something","I am sorry for snapping at you. I have been a bit on edge since I found out that they are selling our company.
My new colleague puts me on edge, I hate working with her.
He is on edge because their test results should have posted online hours ago.
The African elephant is on the edge of extinction. If nothing is done there will soon be none left."
a smooth sea never made a skilled sailor,"a proverb that means easy situations can never improve you or make you better
the harsh conditions of life make a person tougher and more capable
challenging experiences often give the best lessons of life","You are just cutting days in the comfort of your home and spending your parents' money. You need to really get out and face the actual life. Remember, a smooth sea has never made a skilled sailor.
""You're just bragging of your life being so smooth and all. Maybe you're forgetting that smooth seas never make a skilled sailor.""
""I know you are going through a divorce and are having a pretty hard time making ends meet for you and your son. But then, you're only getting stronger. Rough seas make great sailors after all!"
drain the swamp,"rooting out the practice of corruption
preventing to uprooting something that is harmful
originally means the draining swamps to get rid of or lowering the mosquito population","No matter how critical it is, Draining the swamps would be just about impossible unless we citizens take action against it in the union.
The bizarre practices and preaching of black magic by that woman is starting have some serious bad impact on the kids here. Can you believe my 8-year-old kid's been asking about it! It's time to call a society meeting and drain the swamp.
Nations need to take strong actions to drain the swamps breeding terrorists.
After becoming President of the United States, Donald Trump promised to drain the swamps several times during his tenure."
ride high,"when someone is very successful
somebody Being confident
being popular and doing quite well in their life
to be quite excited and happy","Our team won four college tournaments in a row this year! Why wouldn't the team be riding high!
You've got a TV show coming up? Oh my God! Someone is clearly riding high!
Anita finally got the promotion she's been waiting since like forever. She's been riding high ever since the news came through!
Girl, don't ride so high already! It has just been three weeks since you have gotten into this relationship!
There has been quite a debate over which of the two major parties is going to win this year's elections. Now that the elections are almost here, supporter really seem to be riding high!"
at odds,"to disagree about something
to argue about a matter
two things that seem to be opposites
in conflict
at variance
in disagreement or dispute
arguing","They are at odds about the fundraiser that I being held on Saturday.
We are at odds about how to punish our son for skipping school. I take the matter much more seriously than my husband does.
They are definitely at odds about how to run the company. This is causing the stakeholders to lose faith in them.
Her beaming smile was at odds with the rumours that I had heard about her quick temper.
His piercing blue eyes are at odds with the rest of his features.
His speech during the meeting is completely at odds with what we discussed last week."
under siege,"to be under attack
to be criticized by a lot of people at the same time
to be under a lot of pressure ","The president came under siege for his radical decisions.
The newspaper came under siege after they printed an article denouncing the recent attacks as a hoax.
 Their corporate offices are under siege after their stocks plummeted last week.
Our company is under siege after it was discovered that our CEO had been embezzling from stockholders.
Their website is under siege from cyber terrorists."
have no business,"to do something that you should not be doing
to insert yourself in a situation that has nothing to do with you
to have no right to be somewhere","You have no business discussing my personal life with your friends.
After all of the mistakes that you have made you have no business getting involved in my problems.
You have no business telling my boss that I was late to work. You are just trying to cause trouble.
You have no business walking around this neighbourhood at night. I am phoning the police.
You have no business coming to my office. We will deal with this situation when I get home."
take heart,"to stay confident and positive
to be happy about something
to find happiness in something
to encourage something
to get comfort and courage from something (take heart from)","We lost the elections - it is a part of the game. But we absolutely take heart in the apparently greater awareness and involvement of the young generation in keeping the spirit of democracy.
As a teacher, you should take heart from your class's better average performance this year.
Oh, kiddo! Take heart! There is still time left for the results.
I take heart from the positive medical test results. I've been worried dead ever since the feverish symptoms started showing.
Take heart buddy! There's a good chance we get to go on that trip once we have our exams done with."
rake over the coals,"drag over the coals
haul over the coals","My classmate Lily forgot doing her maths homework as she had a function to attend in her family. The teacher literally raked her over the coals for that.
""You didn't get her the present for her birthday? She is so going to drag you over the coals!""
He raked me over the coals when he found out that I lied to him about Jonah. Thankfully, we cleared things up soon after.
The scam was busted and the people hauled the scam team over the coals for it. They're sure regretting the moment they thought of the scam.
Jenny was raked over the coals for violating the traffic rules.
It is not fair that Mathew gets raked over the coals every time something goes wrong in the school.
The terrorists should be raked over the coals as hard as they could be for killing innocent people."
stand in a good stead,"to be of advantage to someone
to be of great use to someone
When something is said to stand someone in good stead, it implies the thing is being good for the person, in any context.
Used in general to refer an experience or talent or ability or position, which would be useful or beneficial for a person, his life and his future.","His years of experience in the spoken English field has stood him in good stead.
Amelia's ability to accurately read someone's expressions is standing her in good stead in her career as a psychiatrist.
Mark was expecting that his two-month internship with Amazon will stand him in good stead when he'll be out of college, searching for jobs.
No matter which field you choose, having a great communication skill would always stand you in good stead. It is a great ability to develop.
Me being a linguist has stood me in good stead in my travels and adventures.
His great capability as a student has stood him in good stead in University."
smack dab,"exactly
precisely
right in place or time
squarely","We got our water balloons fully filled and threw smack dab at their heads. It was fun, I tell you!
I accidentally lost my balance while stepping back and my elbow landed smack dab on her ribs.
He was trying to hold me down, that molester. That's when I got him off balance and punched him smack dab at his nose.
I want to own a farmhouse smack dab in the middle of woods near the city.
John accidentally elbowed me smack dab on my nose. The bleeding doesn't stop, no matter what all I tried.
The parachute landed smack dab into the middle of the lake.
Conversation example:"
get a life,"to stop wasting a lot of time in useless or boring or trivial works
to do something better or act responsibly
a way to ask someone to mind their own business or life
to advise someone to start living a better life
used to ask a boring person to do something exciting","You are working over 100 hours a week, dude, get a life!
Why do you always have to interrupt with whatever I do? Just get a life!
What do you mean, not going to the party this week too? You really need to get a life.
Get a life dude! How long are you planning to stay in your room playing games?
Being hardworking is a great thing. But this is as if you are turning into a machine! Seriously, go get a life!
Gian, you need to get a life and stop bullying kids around you."
throw under the bus,"push under the bus
shove under the bus","Mark always looks for someone to blame and throw under the bus for his failings.
When the FBI missed a tip about the man who became a school
shooter, the FBI director was thrown under the bus by the state
Governor who called for his resignation so he wouldn't be blamed for
the incident.
John only wants the admiration and when things go wrong - he always finds for someone to throw under the bus.
I am sure that my boss will throw me under the bus for the failed project.
I think that I am always the one that people throw under the bus first.
It's shocking to know how my Dad got thrown under the bus by his colleague."
cold sweat,"the condition where extreme fear or nervousness causes a person to feel a chill along with moist skin or sweat
a situation when a person is extremely afraid, nervous or anxious
sweating caused by nervousness, fear or sickness","I woke up from a nightmare, breathing heavy and in cold sweat.
The hostages were in a cold sweat as they saw the hijacker pointing a gun on the air-hostess.
Just thinking about the whole situation makes me break out in a cold sweat.
She broke out in a cold sweat as she read the last warning notice from the bank about the loan repayment.
Every member of the dysfunctional family was in cold sweat as the lawyer opened the father's will."
on the horizon,"an event that is most likely going to happen soon
occurring in the near future
within view
in the near future
imminent
awaiting
approaching
forthcoming
on the way
about to happen
just around the corner
in the air
in prospect","I have seen the way your boss praises your work. I am sure that a promotion is on the horizon.
We have some exciting new products on the horizon.
Are there any new romantic dates on the horizon for you and Peter?
Even though they are denying any change of leadership, I think that there are much needed changes on the horizon.
You need to stop stalling. The deadline is on the horizon and we still have more than half of the proposal to complete.
An important announcement is on the horizon about education in the United States by the American President.
I am pretty sure that the brighter days are on the horizon with the constant growth in our business."
wild goose chase,"wasting resource working on something that does not exist
spending time searching for something that is simply impossible to find
a foolish search for something that cannot be achieved
a chase for something that's beyond your reach","They tampered with my research. Thank God I found it out. I'm sure they were hoping to send me on a wild goose chase as I continue my research.
The convict escaped the police custody on the way to jail. Police is apparently on a wild goose chase after he vanished into woods.
It turns out that my brother took my car keys. I had been on a wild goose chase this whole morning searching them in the entire house.
Jonathan looking for his lost phone may be on a wild goose chase.
Michel ends up on a wild goose chase trying to find a rental house of her dream."
